Series_Title,Released_Year,Genre,IMDB_Rating,Meta_score,No_of_Votes,Gross
Room,2015,Drama,8.1,86.0,371538,"14,677,674"
Relatos salvajes,2014,Comedy,8.1,77.0,177059,"3,107,072"
Soul,2020,Animation,8.1,83.0,159171,
Kis Uykusu,2014,Drama,8.1,88.0,46547,"165,520"
PK,2014,Comedy,8.1,,163061,"10,616,104"
OMG: Oh My God!,2012,Comedy,8.1,,51739,"923,221"
The Grand Budapest Hotel,2014,Adventure,8.1,88.0,707630,"59,100,318"
Gone Girl,2014,Drama,8.1,79.0,859695,"167,767,189"
Ôkami kodomo no Ame to Yuki,2012,Animation,8.1,71.0,38803,
Hacksaw Ridge,2016,Biography,8.1,71.0,435928,"67,209,615"
Inside Out,2015,Animation,8.1,94.0,616228,"356,461,711"
Barfi!,2012,Comedy,8.1,,75721,"2,804,874"
12 Years a Slave,2013,Biography,8.1,96.0,640533,"56,671,993"
Rush,2013,Action,8.1,74.0,432811,"26,947,624"
Ford v Ferrari,2019,Action,8.1,81.0,291289,"117,624,028"
Spotlight,2015,Biography,8.1,93.0,420316,"45,055,776"
Song of the Sea,2014,Animation,8.1,85.0,51679,"857,524"
Kahaani,2012,Mystery,8.1,,57806,"1,035,953"
Zindagi Na Milegi Dobara,2011,Comedy,8.1,,67927,"3,108,485"
Prisoners,2013,Crime,8.1,70.0,601149,"61,002,302"
Mad Max: Fury Road,2015,Action,8.1,90.0,882316,"154,058,340"
A Wednesday,2008,Action,8.1,,73891,
Gran Torino,2008,Drama,8.1,72.0,720450,"148,095,302"
Harry Potter and the Deathly Hallows: Part 2,2011,Adventure,8.1,85.0,764493,"381,011,219"
Okuribito,2008,Drama,8.1,68.0,48582,"1,498,210"
Hachi: A Dog's Tale,2009,Biography,8.1,,253575,
Mary and Max,2009,Animation,8.1,,164462,
How to Train Your Dragon,2010,Animation,8.1,75.0,666773,"217,581,231"
Into the Wild,2007,Adventure,8.1,73.0,572921,"18,354,356"
No Country for Old Men,2007,Crime,8.1,91.0,856916,"74,283,625"
Lage Raho Munna Bhai,2006,Comedy,8.1,,43137,"2,217,561"
Million Dollar Baby,2004,Drama,8.1,86.0,635975,"100,492,203"
Hotel Rwanda,2004,Biography,8.1,79.0,334320,"23,530,892"
Taegukgi hwinalrimyeo,2004,Action,8.1,64.0,37820,"1,111,061"
Before Sunset,2004,Drama,8.1,90.0,236311,"5,820,649"
Munna Bhai M.B.B.S.,2003,Comedy,8.1,,73992,
Salinui chueok,2003,Crime,8.1,82.0,139558,"14,131"
Dil Chahta Hai,2001,Comedy,8.1,,66803,"300,000"
Kill Bill: Vol. 1,2003,Action,8.1,69.0,1000639,"70,099,045"
Finding Nemo,2003,Animation,8.1,90.0,949565,"380,843,261"
Catch Me If You Can,2002,Biography,8.1,75.0,832846,"164,615,351"
Amores perros,2000,Drama,8.1,83.0,223741,"5,383,834"
"Monsters, Inc.",2001,Animation,8.1,79.0,815505,"289,916,256"
"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",1997,Animation,8.1,,38847,
Lagaan: Once Upon a Time in India,2001,Adventure,8.1,84.0,105036,"70,147"
The Sixth Sense,1999,Drama,8.1,64.0,911573,"293,506,292"
La leggenda del pianista sull'oceano,1998,Drama,8.1,58.0,59020,"259,127"
The Truman Show,1998,Comedy,8.1,90.0,939631,"125,618,201"
"Crna macka, beli macor",1998,Comedy,8.1,73.0,50862,"348,660"
The Big Lebowski,1998,Comedy,8.1,71.0,732620,"17,498,804"
Fa yeung nin wah,2000,Drama,8.1,85.0,124383,"2,734,044"
Trainspotting,1996,Drama,8.1,83.0,634716,"16,501,785"
Fargo,1996,Crime,8.1,85.0,617444,"24,611,975"
Underground,1995,Comedy,8.1,,55220,"171,082"
La haine,1995,Crime,8.1,,150345,"309,811"
Dilwale Dulhania Le Jayenge,1995,Drama,8.1,,63516,
Before Sunrise,1995,Drama,8.1,77.0,272291,"5,535,405"
Trois couleurs: Rouge,1994,Drama,8.1,100.0,90729,"4,043,686"
Chung Hing sam lam,1994,Comedy,8.1,77.0,63122,"600,200"
Jurassic Park,1993,Action,8.1,68.0,867615,"402,453,882"
In the Name of the Father,1993,Biography,8.1,84.0,156842,"25,010,410"
Ba wang bie ji,1993,Drama,8.1,,25088,"5,216,888"
Dà hóng denglong gaogao guà,1991,Drama,8.1,,29662,"2,603,061"
Dead Poets Society,1989,Comedy,8.1,79.0,425457,"95,860,116"
Stand by Me,1986,Adventure,8.1,75.0,363401,"52,287,414"
Platoon,1986,Drama,8.1,92.0,381222,"138,530,565"
"Paris, Texas",1984,Drama,8.1,78.0,91188,"2,181,987"
Kaze no tani no Naushika,1984,Animation,8.1,86.0,150924,"495,770"
The Thing,1982,Horror,8.1,57.0,371271,"13,782,838"
Pink Floyd: The Wall,1982,Drama,8.1,47.0,76081,"22,244,207"
Fitzcarraldo,1982,Adventure,8.1,,31595,
Fanny och Alexander,1982,Drama,8.1,100.0,57784,"4,971,340"
Blade Runner,1982,Action,8.1,84.0,693827,"32,868,943"
The Elephant Man,1980,Biography,8.1,78.0,220078,
Life of Brian,1979,Comedy,8.1,77.0,367250,"20,045,115"
The Deer Hunter,1978,Drama,8.1,86.0,311361,"48,979,328"
Rocky,1976,Drama,8.1,70.0,518546,"117,235,247"
Network,1976,Drama,8.1,83.0,144911,
Barry Lyndon,1975,Adventure,8.1,89.0,149843,
Zerkalo,1975,Biography,8.1,,40081,"177,345"
Chinatown,1974,Drama,8.1,92.0,294230,"29,000,000"
Paper Moon,1973,Comedy,8.1,77.0,42285,"30,933,743"
Viskningar och rop,1972,Drama,8.1,,30206,"1,742,348"
Solaris,1972,Drama,8.1,90.0,81021,
Le samouraï,1967,Crime,8.1,,45434,"39,481"
Cool Hand Luke,1967,Crime,8.1,92.0,161984,"16,217,773"
Persona,1966,Drama,8.1,86.0,103191,
Andrei Rublev,1966,Biography,8.1,,46947,"102,021"
La battaglia di Algeri,1966,Drama,8.1,96.0,53089,"55,908"
El ángel exterminador,1962,Drama,8.1,,29682,
What Ever Happened to Baby Jane?,1962,Drama,8.1,75.0,50058,"4,050,000"
Sanjuro,1962,Action,8.1,,33044,
The Man Who Shot Liberty Valance,1962,Drama,8.1,94.0,68827,
Ivanovo detstvo,1962,Drama,8.1,,31728,
Jungfrukällan,1960,Drama,8.1,,26697,"1,526,000"
Inherit the Wind,1960,Biography,8.1,75.0,27254,
Les quatre cents coups,1959,Crime,8.1,,105291,
Ben-Hur,1959,Adventure,8.1,90.0,219466,"74,700,000"
Kakushi-toride no san-akunin,1958,Adventure,8.1,,34797,
Le notti di Cabiria,1957,Drama,8.1,,42940,"752,045"
Kumonosu-jô,1957,Drama,8.1,,46678,
The Bridge on the River Kwai,1957,Adventure,8.1,87.0,203463,"44,908,000"
On the Waterfront,1954,Crime,8.1,91.0,142107,"9,600,000"
Le salaire de la peur,1953,Adventure,8.1,85.0,54588,
Ace in the Hole,1951,Drama,8.1,72.0,31568,"3,969,893"
White Heat,1949,Action,8.1,,29807,
The Third Man,1949,Film-Noir,8.1,97.0,158731,"449,191"
The Red Shoes,1948,Drama,8.1,,30935,"10,900,000"
The Shop Around the Corner,1940,Comedy,8.1,96.0,28450,"203,300"
Rebecca,1940,Drama,8.1,86.0,123942,"4,360,000"
Mr. Smith Goes to Washington,1939,Comedy,8.1,73.0,107017,"9,600,000"
Gone with the Wind,1939,Drama,8.1,97.0,290074,"198,676,459"
La Grande Illusion,1937,Drama,8.1,,33829,"172,885"
It Happened One Night,1934,Comedy,8.1,87.0,94016,"4,360,000"
La passion de Jeanne d'Arc,1928,Biography,8.1,,47676,"21,877"
The Circus,1928,Comedy,8.1,90.0,30205,
Sunrise: A Song of Two Humans,1927,Drama,8.1,,46865,"539,540"
The General,1926,Action,8.1,,81156,"1,033,895"
Das Cabinet des Dr. Caligari,1920,Fantasy,8.1,,57428,
Badhaai ho,2018,Comedy,8.0,,27978,
Togo,2019,Adventure,8.0,69.0,37556,
Airlift,2016,Drama,8.0,,52897,
Bajrangi Bhaijaan,2015,Action,8.0,,72245,"8,178,001"
Baby,2015,Action,8.0,,52848,
La La Land,2016,Comedy,8.0,94.0,505918,"151,101,803"
Lion,2016,Biography,8.0,69.0,213970,"51,739,495"
The Martian,2015,Adventure,8.0,80.0,760094,"228,433,663"
Zootopia,2016,Animation,8.0,78.0,434143,"341,268,248"
Bãhubali: The Beginning,2015,Action,8.0,,102972,"6,738,000"
Kaguyahime no monogatari,2013,Animation,8.0,89.0,38746,"1,506,975"
Wonder,2017,Drama,8.0,66.0,141923,"132,422,809"
Gully Boy,2019,Drama,8.0,65.0,31886,"5,566,534"
Special Chabbis,2013,Crime,8.0,,51069,"1,079,369"
Short Term 12,2013,Drama,8.0,82.0,81770,"1,010,414"
Serbuan maut 2: Berandal,2014,Action,8.0,71.0,114316,"2,625,803"
The Imitation Game,2014,Biography,8.0,73.0,685201,"91,125,683"
Guardians of the Galaxy,2014,Action,8.0,76.0,1043455,"333,176,600"
Blade Runner 2049,2017,Action,8.0,81.0,461823,"92,054,159"
Her,2013,Drama,8.0,90.0,540772,"25,568,251"
Bohemian Rhapsody,2018,Biography,8.0,49.0,450349,"216,428,042"
The Revenant,2015,Action,8.0,76.0,705589,"183,637,894"
The Perks of Being a Wallflower,2012,Drama,8.0,67.0,462252,"17,738,570"
Tropa de Elite 2: O Inimigo Agora é Outro,2010,Action,8.0,71.0,79200,"100,119"
The King's Speech,2010,Biography,8.0,88.0,639603,"138,797,449"
The Help,2011,Drama,8.0,62.0,428521,"169,708,112"
Deadpool,2016,Action,8.0,65.0,902669,"363,070,709"
Darbareye Elly,2009,Drama,8.0,87.0,45803,"106,662"
Dev.D,2009,Drama,8.0,,28749,"10,950"
Yip Man,2008,Action,8.0,59.0,211427,
My Name Is Khan,2010,Drama,8.0,50.0,98575,"4,018,695"
Nefes: Vatan Sagolsun,2009,Action,8.0,,31838,
Slumdog Millionaire,2008,Drama,8.0,84.0,798882,"141,319,928"
Black Swan,2010,Drama,8.0,79.0,699673,"106,954,678"
Tropa de Elite,2007,Action,8.0,33.0,98097,"8,060"
The Avengers,2012,Action,8.0,69.0,1260806,"623,279,547"
Persepolis,2007,Animation,8.0,90.0,88656,"4,445,756"
Dallas Buyers Club,2013,Biography,8.0,80.0,441614,"27,298,285"
The Pursuit of Happyness,2006,Biography,8.0,64.0,448930,"163,566,459"
Blood Diamond,2006,Adventure,8.0,64.0,499439,"57,366,262"
The Bourne Ultimatum,2007,Action,8.0,85.0,604694,"227,471,070"
Bin-jip,2004,Crime,8.0,72.0,50610,"238,507"
Sin City,2005,Crime,8.0,74.0,738512,"74,103,820"
Le scaphandre et le papillon,2007,Biography,8.0,92.0,103284,"5,990,075"
G.O.R.A.,2004,Adventure,8.0,,56960,
Ratatouille,2007,Animation,8.0,96.0,641645,"206,445,654"
Casino Royale,2006,Action,8.0,80.0,582239,"167,445,960"
Kill Bill: Vol. 2,2004,Action,8.0,83.0,683900,"66,208,183"
Vozvrashchenie,2003,Drama,8.0,82.0,42399,"502,028"
Bom Yeoareum Gaeul Gyeoul Geurigo Bom,2003,Drama,8.0,85.0,77520,"2,380,788"
Mar adentro,2014,Biography,8.0,74.0,77554,"2,086,345"
Cinderella Man,2005,Biography,8.0,69.0,176151,"61,649,911"
Kal Ho Naa Ho,2003,Comedy,8.0,54.0,63460,"1,787,378"
Mou gaan dou,2002,Action,8.0,75.0,117857,"169,659"
Pirates of the Caribbean: The Curse of the Black Pearl,2003,Action,8.0,63.0,1015122,"305,413,918"
Big Fish,2003,Adventure,8.0,58.0,415218,"66,257,002"
The Incredibles,2004,Animation,8.0,90.0,657047,"261,441,092"
Yeopgijeogin geunyeo,2001,Comedy,8.0,,45403,
Dogville,2003,Crime,8.0,60.0,137963,"1,530,386"
Vizontele,2001,Comedy,8.0,,33592,
Donnie Darko,2001,Drama,8.0,88.0,740086,"1,480,006"
Magnolia,1999,Drama,8.0,77.0,289742,"22,455,976"
Dancer in the Dark,2000,Crime,8.0,61.0,102285,"4,184,036"
The Straight Story,1999,Biography,8.0,86.0,82002,"6,203,044"
Pâfekuto burû,1997,Animation,8.0,,58192,"776,665"
Festen,1998,Drama,8.0,82.0,78341,"1,647,780"
Central do Brasil,1998,Drama,8.0,80.0,36419,"5,595,428"
The Iron Giant,1999,Animation,8.0,85.0,172083,"23,159,305"
Knockin' on Heaven's Door,1997,Action,8.0,,27721,"3,296"
Sling Blade,1996,Drama,8.0,84.0,86838,"24,475,416"
Secrets & Lies,1996,Comedy,8.0,91.0,37564,"13,417,292"
Twelve Monkeys,1995,Mystery,8.0,74.0,578443,"57,141,459"
Kôkaku Kidôtai,1995,Animation,8.0,76.0,129231,"515,905"
The Nightmare Before Christmas,1993,Animation,8.0,82.0,300208,"75,082,668"
Groundhog Day,1993,Comedy,8.0,72.0,577991,"70,906,973"
Bound by Honor,1993,Crime,8.0,47.0,28825,"4,496,583"
Scent of a Woman,1992,Drama,8.0,59.0,263918,"63,895,607"
Aladdin,1992,Animation,8.0,86.0,373845,"217,350,219"
JFK,1991,Drama,8.0,72.0,142110,"70,405,498"
Beauty and the Beast,1991,Animation,8.0,95.0,417178,"218,967,620"
Dances with Wolves,1990,Adventure,8.0,72.0,240266,"184,208,848"
Do the Right Thing,1989,Comedy,8.0,93.0,89429,"27,545,445"
Rain Man,1988,Drama,8.0,65.0,473064,"178,800,000"
Akira,1988,Animation,8.0,,164918,"553,171"
The Princess Bride,1987,Adventure,8.0,77.0,393899,"30,857,814"
Der Himmel über Berlin,1987,Drama,8.0,79.0,64722,"3,333,969"
Au revoir les enfants,1987,Drama,8.0,88.0,31163,"4,542,825"
Tenkû no shiro Rapyuta,1986,Animation,8.0,78.0,150140,
The Terminator,1984,Action,8.0,84.0,799795,"38,400,000"
Gandhi,1982,Biography,8.0,79.0,217664,"52,767,889"
Kagemusha,1980,Drama,8.0,84.0,32195,
Being There,1979,Comedy,8.0,83.0,65625,"30,177,511"
Annie Hall,1977,Comedy,8.0,92.0,251823,"39,200,000"
Jaws,1975,Adventure,8.0,87.0,543388,"260,000,000"
Dog Day Afternoon,1975,Biography,8.0,86.0,235652,"50,000,000"
Young Frankenstein,1974,Comedy,8.0,80.0,143359,"86,300,000"
Papillon,1973,Biography,8.0,58.0,121627,"53,267,000"
